timestamp,open,high,low,close,volume,number_of_trades
2026-07-11 15:31:00,64422.53,64422.54,64410.14,64420.76,9.38182,1780
2026-07-11 15:32:00,64420.76,64426.64,64420.75,64426.64,6.21386,2411
2026-07-11 15:33:00,64426.64,64442.0,64426.63,64441.99,7.39975,1089
2026-07-11 15:34:00,64442.0,64450.0,64437.07,64440.21,7.83474,1619
2026-07-11 15:35:00,64440.21,64445.3,64430.0,64430.0,4.83489,1200
2026-07-11 15:36:00,64430.0,64430.01,64410.71,64410.72,8.305,1687
2026-07-11 15:37:00,64410.72,64410.72,63896.18,64184.0,324.70809,21360
2026-07-11 15:38:00,64184.0,64194.63,64080.0,64185.61,39.01434,11733
2026-07-11 15:39:00,64185.61,64185.61,64108.38,64119.66,153.74773,8090
2026-07-11 15:40:00,64119.66,64124.01,64084.09,64116.95,38.32882,4196
2026-07-11 15:41:00,64116.96,64200.78,64109.63,64188.78,18.73866,3171
2026-07-11 15:42:00,64188.79,64188.79,64142.47,64148.34,15.64459,2132
2026-07-11 15:43:00,64148.9,64161.48,64126.16,64156.28,15.64167,2170
2026-07-11 15:44:00,64156.27,64156.28,64071.63,64094.69,26.37044,3372
2026-07-11 15:45:00,64094.7,64154.0,64072.01,64085.16,18.09755,5022
2026-07-11 15:46:00,64085.16,64096.0,64058.0,64058.0,16.33444,3287
2026-07-11 15:47:00,64058.01,64058.01,64008.0,64023.53,28.77115,5021
2026-07-11 15:48:00,64023.54,64042.03,64017.3,64017.31,18.7198,4424
2026-07-11 15:49:00,64017.32,64089.99,64010.82,64089.99,36.34795,2697
2026-07-11 15:50:00,64089.99,64089.99,64028.0,64031.4,18.78991,3423
2026-07-11 15:51:00,64031.39,64044.88,64031.39,64044.87,12.01434,1398
2026-07-11 15:52:00,64044.88,64100.0,64044.88,64080.0,9.60763,2181
2026-07-11 15:53:00,64080.01,64121.25,64079.77,64111.53,17.04176,1973
2026-07-11 15:54:00,64111.53,64144.0,64100.0,64144.0,15.12662,2879
2026-07-11 15:55:00,64143.99,64191.04,64143.99,64182.12,18.01627,3487
2026-07-11 15:56:00,64182.11,64182.85,64130.0,64141.92,18.4249,2642
2026-07-11 15:57:00,64141.92,64173.91,64141.92,64160.48,25.9105,2130
2026-07-11 15:58:00,64160.48,64180.0,64157.95,64160.01,7.37057,1514
2026-07-11 15:59:00,64160.0,64175.75,64157.29,64175.75,6.1309,929
2026-07-11 16:00:00,64175.75,64178.03,64157.29,64157.3,12.54729,2197
2026-07-11 16:01:00,64157.29,64185.65,64149.09,64185.65,6.32361,2368
2026-07-11 16:02:00,64185.66,64210.02,64176.0,64209.99,14.12972,4188
2026-07-11 16:03:00,64210.0,64214.0,64130.0,64130.0,18.72871,3824
2026-07-11 16:04:00,64130.0,64141.03,64128.0,64141.03,9.94306,1889
2026-07-11 16:05:00,64141.04,64153.97,64113.86,64113.87,9.87225,2484
2026-07-11 16:06:00,64113.87,64116.57,64084.0,64114.39,14.39151,2780
2026-07-11 16:07:00,64114.39,64134.0,64114.39,64118.01,9.48254,1923
