timestamp,open,high,low,close,volume,number_of_trades
2026-07-11 15:35:00,0.885,0.887,0.885,0.886,1357.51,11
2026-07-11 15:36:00,0.885,0.886,0.885,0.885,2058.32,13
2026-07-11 15:37:00,0.886,0.886,0.877,0.88,148608.25,454
2026-07-11 15:38:00,0.881,0.882,0.878,0.881,29544.3,143
2026-07-11 15:39:00,0.88,0.881,0.88,0.88,8281.48,63
2026-07-11 15:40:00,0.88,0.88,0.879,0.88,171.31,4
2026-07-11 15:41:00,0.88,0.881,0.88,0.881,2525.73,26
2026-07-11 15:42:00,0.881,0.882,0.881,0.881,5169.26,43
2026-07-11 15:43:00,0.881,0.881,0.881,0.881,8.9,2
2026-07-11 15:44:00,0.881,0.881,0.88,0.88,6286.33,24
2026-07-11 15:45:00,0.88,0.881,0.88,0.88,3510.1,22
2026-07-11 15:46:00,0.88,0.88,0.88,0.88,111.55,2
2026-07-11 15:47:00,0.879,0.879,0.877,0.879,2783.58,35
2026-07-11 15:48:00,0.878,0.878,0.878,0.878,671.4,14
2026-07-11 15:49:00,0.877,0.879,0.877,0.879,1605.97,12
2026-07-11 15:50:00,0.878,0.878,0.877,0.878,884.97,9
2026-07-11 15:51:00,0.878,0.878,0.877,0.877,297.5,4
2026-07-11 15:52:00,0.877,0.879,0.877,0.878,7783.07,40
2026-07-11 15:53:00,0.878,0.878,0.878,0.878,213.84,1
2026-07-11 15:54:00,0.878,0.878,0.878,0.878,0.0,0
2026-07-11 15:55:00,0.878,0.88,0.878,0.88,4081.76,43
2026-07-11 15:56:00,0.88,0.88,0.879,0.879,1287.21,4
2026-07-11 15:57:00,0.879,0.88,0.879,0.879,891.21,15
2026-07-11 15:58:00,0.879,0.879,0.879,0.879,430.3,5
2026-07-11 15:59:00,0.88,0.88,0.88,0.88,526.41,6
2026-07-11 16:00:00,0.879,0.88,0.879,0.879,2269.08,31
2026-07-11 16:01:00,0.878,0.878,0.878,0.878,1779.41,20
2026-07-11 16:02:00,0.878,0.879,0.877,0.878,1006.44,43
2026-07-11 16:03:00,0.878,0.878,0.877,0.877,5478.83,25
2026-07-11 16:04:00,0.876,0.877,0.876,0.877,2157.56,12
2026-07-11 16:05:00,0.877,0.878,0.876,0.877,4578.68,19
2026-07-11 16:06:00,0.877,0.877,0.877,0.877,2410.53,10
2026-07-11 16:07:00,0.877,0.878,0.877,0.878,2684.35,17
2026-07-11 16:08:00,0.878,0.878,0.877,0.877,2896.59,20
2026-07-11 16:09:00,0.877,0.878,0.877,0.877,4487.45,23
2026-07-11 16:10:00,0.877,0.877,0.877,0.877,570.96,6
2026-07-11 16:11:00,0.877,0.878,0.877,0.878,384.87,13
2026-07-11 16:12:00,0.878,0.879,0.878,0.879,2207.0,11
2026-07-11 16:13:00,0.879,0.88,0.879,0.88,1003.27,12
2026-07-11 16:14:00,0.88,0.88,0.88,0.88,0.0,0
2026-07-11 16:15:00,0.879,0.879,0.879,0.879,33.9,3
2026-07-11 16:16:00,0.879,0.879,0.879,0.879,1331.12,9
2026-07-11 16:17:00,0.878,0.878,0.878,0.878,20.0,2
2026-07-11 16:18:00,0.878,0.879,0.878,0.879,2072.02,30
2026-07-11 16:19:00,0.878,0.879,0.878,0.879,315.06,7
2026-07-11 16:20:00,0.879,0.879,0.878,0.879,1752.09,17
2026-07-11 16:21:00,0.879,0.879,0.879,0.879,581.7,14
2026-07-11 16:22:00,0.878,0.879,0.878,0.879,14004.66,38
2026-07-11 16:23:00,0.879,0.88,0.879,0.879,3363.52,13
2026-07-11 16:24:00,0.879,0.879,0.879,0.879,0.0,0
2026-07-11 16:25:00,0.88,0.88,0.88,0.88,903.3,9
2026-07-11 16:26:00,0.88,0.88,0.88,0.88,1186.36,5
2026-07-11 16:27:00,0.88,0.88,0.88,0.88,2723.19,8
2026-07-11 16:28:00,0.879,0.88,0.879,0.88,5046.03,15
2026-07-11 16:29:00,0.879,0.88,0.879,0.879,678.22,12
2026-07-11 16:30:00,0.879,0.879,0.878,0.878,2197.59,13
2026-07-11 16:31:00,0.878,0.879,0.878,0.878,1563.65,5
2026-07-11 16:32:00,0.878,0.879,0.878,0.879,2355.3,22
2026-07-11 16:33:00,0.878,0.878,0.878,0.878,9807.19,85
2026-07-11 16:34:00,0.878,0.88,0.878,0.88,7255.19,23
